"Latitude (decimal degrees):	53.434",,,,,,
"Longitude (decimal degrees):	-9.060",,,,,,
"Elevation (m):	18",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	7.9",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20200105:1411,112.38,29.33,11.5,10.85,5.66,0
20200105:1511,112.38,29.33,7.34,10.84,5.59,0
20200105:1611,0,0,0,10.66,5.52,0
20200105:1711,0,0,0,10.36,5.38,0
20200105:1811,0,0,0,10.2,5.45,0
20200105:1911,0,0,0,10.12,5.66,0
20200105:2011,0,0,0,9.91,5.93,0
20200105:2111,0,0,0,9.65,6.28,0
20200105:2211,0,0,0,9.44,6.55,0
20200105:2311,0,0,0,9.22,6.76,0
20200106:0011,0,0,0,9.06,7.03,0
20200106:0111,0,0,0,8.82,7.17,0
20200106:0211,0,0,0,8.69,7.38,0
20200106:0311,0,0,0,8.91,7.66,0
20200106:0411,0,0,0,9.26,8.07,0
20200106:0511,0,0,0,9.54,8.34,0
20200106:0611,0,0,0,9.43,8.41,0
20200106:0711,0,0,0,9.62,7.79,0
20200106:0811,0,0,0,9.64,6.34,0
20200106:0911,0,0.95,1.5,9.49,5.52,0
20200106:1011,1390.04,215.89,7.36,8.8,5.31,0
20200106:1111,2770.26,408.15,11.56,8.62,5.17,0
20200106:1211,3366.95,492.82,13.77,8.85,5.59,0
20200106:1311,2354.46,348.29,13.8,9.04,6.07,0
20200106:1411,3046.67,446.95,11.64,8.77,6,0
20200106:1511,898.6,146.27,7.49,8.7,5.38,0
20200106:1611,0,1.81,1.67,8.39,4.62,0
20200106:1711,0,0,0,7.88,3.86,0
20200106:1811,0,0,0,7.66,3.59,0
20200106:1911,0,0,0,7.17,3.59,0
20200106:2011,0,0,0,7.06,3.72,0
20200106:2111,0,0,0,7.32,3.79,0
20200106:2211,0,0,0,7.58,4.41,0
20200106:2311,0,0,0,8.13,5.03,0
20200107:0011,0,0,0,8.25,5.59,0
20200107:0111,0,0,0,8.5,5.79,0
20200107:0211,0,0,0,8.7,6.07,0
20200107:0311,0,0,0,9.34,6.55,0
20200107:0411,0,0,0,10.07,6.97,0
20200107:0511,0,0,0,10.75,7.1,0
20200107:0611,0,0,0,11.57,7.17,0
20200107:0711,0,0,0,12.3,7.17,0
20200107:0811,0,0,0,12.59,7.52,0
20200107:0911,0,0.95,1.56,12.61,7.79,0
20200107:1011,639.38,110.91,7.44,12.63,7.93,0
20200107:1111,111.28,29.33,11.66,12.7,8.07,0
20200107:1211,1372.77,214.39,13.88,12.76,8.28,0
20200107:1311,160.62,37.84,13.93,12.84,8.28,0
20200107:1411,55.36,18.92,11.78,12.92,8.34,0
20200107:1511,344.76,67.14,7.64,13.1,8.83,0
20200107:1611,0,0.91,1.82,13.16,9.31,0
20200107:1711,0,0,0,12.77,9.17,0
20200107:1811,0,0,0,11.99,8.83,0
20200107:1911,0,0,0,11.47,8.14,0
20200107:2011,0,0,0,11.05,7.59,0
20200107:2111,0,0,0,10.11,6.34,0
20200107:2211,0,0,0,9.13,5.38,0
20200107:2311,0,0,0,8.53,5.03,0
20200108:0011,0,0,0,8.03,4.97,0
20200108:0111,0,0,0,7.55,4.62,0
20200108:0211,0,0,0,7.26,4.41,0
20200108:0311,0,0,0,7.01,4.14,0
20200108:0411,0,0,0,6.9,3.93,0
20200108:0511,0,0,0,6.72,3.59,0
20200108:0611,0,0,0,6.45,3.24,0
20200108:0711,0,0,0,6.81,3.79,0
20200108:0811,0,0,0,6.49,3.38,0
20200108:0911,0,1.89,1.63,6.08,3.1,0
20200108:1011,1997.9,300.56,7.53,6.07,2.83,0
20200108:1111,2236.21,332.59,11.76,6.73,2.48,0
20200108:1211,1593.5,242.54,14.01,7.33,2.28,0
20200108:1311,1996.55,299.05,14.07,7.73,2.9,0
20200108:1411,1812.97,274.22,11.93,7.71,2.14,0
20200108:1511,519.31,91.75,7.79,7.51,1.66,0
20200108:1611,3.09,6.62,1.98,7.08,1.31,0
20200108:1711,0,0,0,6.37,1.66,0
20200108:1811,0,0,0,5.83,1.79,0
20200108:1911,0,0,0,5.64,2.14,0
20200108:2011,0,0,0,5.59,2.34,0
20200108:2111,0,0,0,5.41,2.28,0
20200108:2211,0,0,0,5.34,2.41,0
20200108:2311,0,0,0,4.87,2.9,0
20200109:0011,0,0,0,4.52,2.76,0
20200109:0111,0,0,0,4.12,2.48,0
20200109:0211,0,0,0,3.91,2.34,0
20200109:0311,0,0,0,3.67,2.14,0
20200109:0411,0,0,0,3.43,1.66,0
20200109:0511,0,0,0,3.05,1.17,0
20200109:0611,0,0,0,2.8,1.24,0
20200109:0711,0,0,0,1.25,0.34,0
20200109:0811,0,0,0,0.53,0.97,0
20200109:0911,0,3.78,1.71,0.18,1.1,0
20200109:1011,1052.09,164.32,7.62,1.05,0.55,0
20200109:1111,2656.05,390.59,11.87,2.51,0.55,0
20200109:1211,469.74,83.27,14.14,3.2,0.76,0
20200109:1311,438.53,78.98,14.21,3.57,0.28,0
20200109:1411,337.15,64.09,12.09,4.02,0.07,0
20200109:1511,410.26,74.92,7.96,4.44,0.34,0
20200109:1611,0,2.84,2.15,4.29,1.03,0
20200109:1711,0,0,0,3.67,1.66,0
20200109:1811,0,0,0,3.66,1.79,0
20200109:1911,0,0,0,4.39,2.21,0
20200109:2011,0,0,0,5.24,4.21,0
20200109:2111,0,0,0,5.26,4.34,0
20200109:2211,0,0,0,4.95,3.79,0
20200109:2311,0,0,0,4.64,3.1,0
20200110:0011,0,0,0,3.9,2.62,0
20200110:0111,0,0,0,3.36,2.48,0
20200110:0211,0,0,0,2.97,2.28,0
20200110:0311,0,0,0,2.82,2.55,0
20200110:0411,0,0,0,3.2,2.34,0
20200110:0511,0,0,0,3.19,2.34,0
20200110:0611,0,0,0,3.66,2.41,0
20200110:0711,0,0,0,4.06,3.1,0
20200110:0811,0,0,0,4.56,3.72,0
20200110:0911,0,2.84,1.8,5.02,4.34,0
20200110:1011,329.95,63.05,7.72,5.39,4.9,0
20200110:1111,1416.41,215.15,11.99,5.94,5.38,0
20200110:1211,1351.63,206.66,14.27,6.62,5.86,0
20200110:1311,1602.61,241.79,14.36,7.42,6.14,0
20200110:1411,253.68,52.03,12.25,7.86,6.55,0
20200110:1511,61.93,19.87,8.13,7.92,6.69,0
20200110:1611,0,2.84,2.32,7.91,7.1,0
20200110:1711,0,0,0,8.41,7.24,0
20200110:1811,0,0,0,9.11,7.66,0
20200110:1911,0,0,0,10.24,7.72,0
20200110:2011,0,0,0,10.62,7.93,0
20200110:2111,0,0,0,10.9,8.21,0
20200110:2211,0,0,0,11.17,8.41,0
20200110:2311,0,0,0,11.45,8.41,0
20200111:0011,0,0,0,11.65,8.41,0
20200111:0111,0,0,0,11.82,8.55,0
20200111:0211,0,0,0,11.81,8.62,0
20200111:0311,0,0,0,11.7,8.69,0
20200111:0411,0,0,0,11.88,9.03,0
20200111:0511,0,0,0,12,9.03,0
20200111:0611,0,0,0,12.1,9.1,0
20200111:0711,0,0,0,12.35,9.1,0
20200111:0811,0,0,0,12.37,8.76,0
20200111:0911,0,0.95,1.89,12.08,7.17,0
20200111:1011,507.51,91.1,7.83,11.21,5.72,0
20200111:1111,1059.85,169.34,12.12,10.23,4.55,0
20200111:1211,2153.92,322.08,14.42,9.65,4.69,0
20200111:1311,151.91,35.95,14.52,9.51,5.17,0
20200111:1411,814.33,134.12,12.42,9.42,5.66,0
20200111:1511,323.53,62.98,8.3,9.23,5.38,0
20200111:1611,0,4.73,2.49,8.92,4.34,0
20200111:1711,0,0,0,8.48,3.79,0
20200111:1811,0,0,0,8.1,3.38,0
20200111:1911,0,0,0,7.16,2.69,0
20200111:2011,0,0,0,6.61,2.55,0
20200111:2111,0,0,0,6.16,2.62,0
20200111:2211,0,0,0,6.07,2.76,0
20200111:2311,0,0,0,6.09,3.03,0
20200112:0011,0,0,0,6.24,3.17,0
20200112:0111,0,0,0,6.36,3.1,0
20200112:0211,0,0,0,6.3,3.24,0
20200112:0311,0,0,0,6.25,3.17,0
20200112:0411,0,0,0,6.1,2.9,0
20200112:0511,0,0,0,5.83,2.76,0
20200112:0611,0,0,0,5.5,2.9,0
20200112:0711,0,0,0,5,2.62,0
20200112:0811,0,0,0,4.29,2.48,0
20200112:0911,0.32,5.68,1.98,4.05,2.48,0
20200112:1011,2070.76,309.2,7.95,4.43,2.34,0
20200112:1111,3103.14,455.04,12.25,5.34,2.48,0
20200112:1211,3837.32,564.53,14.57,6.41,2.69,0
20200112:1311,2153.53,317.76,14.69,5.94,3.79,0
20200112:1411,659.18,110.94,12.59,6.26,4.07,0
20200112:1511,316.8,61.28,8.48,6.22,4.34,0
20200112:1611,13.54,9.46,2.68,5.64,4.07,0
20200112:1711,0,0,0,5.08,3.79,0
20200112:1811,0,0,0,5.04,4.07,0
20200112:1911,0,0,0,5.14,4.21,0
20200112:2011,0,0,0,5.22,4.48,0
20200112:2111,0,0,0,5.22,4.62,0
20200112:2211,0,0,0,4.94,4.76,0
20200112:2311,0,0,0,4.79,4.97,0
20200113:0011,0,0,0,4.83,5.24,0
20200113:0111,0,0,0,5.15,5.52,0
20200113:0211,0,0,0,5.39,5.79,0
20200113:0311,0,0,0,5.73,6.21,0
20200113:0411,0,0,0,6.17,6.76,0
20200113:0511,0,0,0,6.52,7.24,0
20200113:0611,0,0,0,6.73,7.86,0
20200113:0711,0,0,0,7.89,8.55,0
20200113:0811,0,0,0,8.13,9.1,0
20200113:0911,0,1.89,2.09,8.21,9.86,0
20200113:1011,42.85,16.08,8.07,7.95,10.76,0
20200113:1111,147.79,35,12.39,7.84,10.83,0
20200113:1211,153.73,35.95,14.73,7.52,10.41,0
20200113:1311,699.26,116.6,14.86,6.89,9.38,0
20200113:1411,2285.16,334.42,12.78,7.72,11.03,0
20200113:1511,25.19,12.3,8.67,7.68,11.45,0
20200113:1611,0,4.73,2.87,6.96,11.03,0
20200113:1711,0,0,0,6.19,9.17,0
20200113:1811,0,0,0,5.51,8.48,0
20200113:1911,0,0,0,5.39,8.21,0
20200113:2011,0,0,0,5.08,7.93,0
20200113:2111,0,0,0,5.06,7.31,0
20200113:2211,0,0,0,4.45,7.45,0
20200113:2311,0,0,0,4.63,7.59,0
20200114:0011,0,0,0,4.51,7.24,0
20200114:0111,0,0,0,4.3,6.83,0
20200114:0211,0,0,0,4.13,6.28,0
20200114:0311,0,0,0,3.79,6.14,0
20200114:0411,0,0,0,3.74,5.66,0
20200114:0511,0,0,0,3.34,5.59,0
20200114:0611,0,0,0,3.46,5.52,0
20200114:0711,0,0,0,4.1,4.9,0
20200114:0811,0,0,0,4.18,4.41,0
20200114:0911,0,1.89,2.2,3.98,4.76,0
20200114:1011,53.38,17.97,8.2,4.17,4.62,0
20200114:1111,350.14,65.85,12.54,4.3,4.76,0
20200114:1211,499.99,87.74,14.89,4.37,4.28,0
20200114:1311,437.34,78.82,15.04,4.68,4.34,0
20200114:1411,1260.94,193.45,12.96,5.1,4.48,0
20200114:1511,1441.04,219.36,8.86,5.28,4.76,0
20200114:1611,115.08,29.77,3.06,5.01,5.52,0
20200114:1711,0,0,0,4.42,5.79,0
20200114:1811,0,0,0,4.15,5.52,0
20200114:1911,0,0,0,4.33,5.79,0
20200114:2011,0,0,0,4.03,6.14,0
20200114:2111,0,0,0,4.14,6.21,0
20200114:2211,0,0,0,4.45,6.34,0
20200114:2311,0,0,0,4.7,6.55,0
20200115:0011,0,0,0,4.94,6.76,0
20200115:0111,0,0,0,4.7,7.03,0
20200115:0211,0,0,0,4.94,7.03,0
20200115:0311,0,0,0,5.32,6.9,0
20200115:0411,0,0,0,5.83,6.97,0
20200115:0511,0,0,0,6.26,7.24,0
20200115:0611,0,0,0,6.22,7.52,0
20200115:0711,0,0,0,5.92,7.24,0
20200115:0811,0,0,0,5.89,7.38,0
20200115:0911,9.82,8.51,2.32,5.88,7.38,0
20200115:1011,1883.69,280.94,8.33,5.87,7.31,0
20200115:1111,38.65,15.14,12.7,6.14,8,0
20200115:1211,3633.7,522.85,15.06,6.47,7.24,0
20200115:1311,2939.43,426.35,15.22,6.89,6.62,0
20200115:1411,2726.22,397.22,13.16,7.13,6.76,0
20200115:1511,689.91,115.62,9.06,7.14,6,0
20200115:1611,0,1.89,3.26,6.38,5.79,0
20200115:1711,0,0,0,5.95,4.97,0
20200115:1811,0,0,0,5.61,4.9,0
20200115:1911,0,0,0,5.35,4.76,0
20200115:2011,0,0,0,5.17,4.14,0
20200115:2111,0,0,0,4.86,3.93,0
20200115:2211,0,0,0,4.94,3.86,0
20200115:2311,0,0,0,5.16,4.21,0
20200116:0011,0,0,0,5.49,4.69,0
20200116:0111,0,0,0,5.9,5.17,0
20200116:0211,0,0,0,6.5,5.59,0
20200116:0311,0,0,0,7.31,6.14,0
20200116:0411,0,0,0,8.04,6.55,0
20200116:0511,0,0,0,8.54,6.76,0
20200116:0611,0,0,0,8.94,7.24,0
20200116:0711,0,0,0,9.24,6.97,0
20200116:0811,0,0,0,9.18,7.38,0
20200116:0911,0,1.89,2.44,9.13,7.79,0
20200116:1011,163.79,37.84,8.48,9.04,7.66,0
20200116:1111,1037.12,165.05,12.86,9.36,8.14,0
20200116:1211,1358.12,210.25,15.24,9.88,7.17,0
20200116:1311,3827.97,555.62,15.42,8.7,7.52,0
20200116:1411,2429.22,357.79,13.36,7.99,5.79,0
20200116:1511,1216.43,190.36,9.26,8.61,6.62,0
20200116:1611,67.32,21.18,3.46,8.46,6.76,0
20200116:1711,0,0,0,7.43,5.59,0
20200116:1811,0,0,0,6.7,4.28,0
20200116:1911,0,0,0,6.13,4.07,0
20200116:2011,0,0,0,5.76,3.79,0
20200116:2111,0,0,0,5.51,3.72,0
20200116:2211,0,0,0,5.28,3.38,0
20200116:2311,0,0,0,5.12,3.24,0
20200117:0011,0,0,0,5.1,3.24,0
20200117:0111,0,0,0,5.04,3.45,0
20200117:0211,0,0,0,5.02,3.59,0
20200117:0311,0,0,0,4.85,3.52,0
20200117:0411,0,0,0,4.55,3.59,0
20200117:0511,0,0,0,4.26,3.66,0
20200117:0611,0,0,0,4.23,3.72,0
20200117:0711,0,0,0,4.4,3.79,0
20200117:0811,0,0,0,4.15,3.93,0
20200117:0911,162.84,38.33,2.58,4.05,3.72,0
20200117:1011,2346.22,346.62,8.63,4.36,3.45,0
20200117:1111,238.39,49.19,13.03,5.17,3.38,0
20200117:1211,838.41,136.17,15.43,5.61,2.69,0
20200117:1311,498.33,88.23,15.61,5.91,2.9,0
20200117:1411,431.48,78.45,13.57,6.16,2.55,0
20200117:1511,2426.69,361.3,9.47,6.25,2.62,0
20200117:1611,164.42,38.23,3.67,5.97,2.55,0
20200117:1711,0,0,0,5.12,2.41,0
20200117:1811,0,0,0,4.36,2.48,0
20200117:1911,0,0,0,3.56,2.55,0
20200117:2011,0,0,0,3.03,2.41,0
20200117:2111,0,0,0,2.49,2.28,0
20200117:2211,0,0,0,1.93,2.21,0
20200117:2311,0,0,0,1.39,2.07,0
20200118:0011,0,0,0,0.65,1.93,0
20200118:0111,0,0,0,0.1,1.59,0
20200118:0211,0,0,0,0.04,1.38,0
20200118:0311,0,0,0,-0.1,1.31,0
20200118:0411,0,0,0,-0.32,1.17,0
20200118:0511,0,0,0,-0.24,1.03,0
20200118:0611,0,0,0,-1.1,1.17,0
20200118:0711,0,0,0,-0.38,1.03,0
20200118:0811,0,0,0,-0.87,1.1,0
20200118:0911,208.14,45.31,2.72,0.08,0.83,0
20200118:1011,1917.43,284.91,8.78,0.32,0.34,0
20200118:1111,3121.19,459.7,13.2,1.61,0.07,0
20200118:1211,3392.61,504.99,15.62,3.73,0.07,0
20200118:1311,1679.44,254.64,15.82,4.91,0.21,0
20200118:1411,3066.78,459.64,13.78,5.46,0.07,0
20200118:1511,1457.36,224.82,9.69,5.44,0.14,0
20200118:1611,34.37,14.19,3.88,4.75,0.62,0
20200118:1711,0,0,0,3.92,0.9,0
20200118:1811,0,0,0,3.56,0.55,0
20200118:1911,0,0,0,3.11,0.34,0
20200118:2011,0,0,0,-0.73,1.66,0
20200118:2111,0,0,0,-1.03,1.66,0
20200118:2211,0,0,0,-1.7,1.79,0
20200118:2311,0,0,0,-1.83,1.93,0
20200119:0011,0,0,0,-1.84,1.93,0
20200119:0111,0,0,0,-1.96,2.14,0
20200119:0211,0,0,0,-1.85,2.14,0
20200119:0311,0,0,0,-1.74,2.21,0
20200119:0411,0,0,0,-1.56,2.34,0
20200119:0511,0,0,0,-1.34,2.34,0
20200119:0611,0,0,0,-1.08,2.41,0
20200119:0711,0,0,0,-0.69,2.62,0
20200119:0811,0,0,0,-0.3,2.62,0
20200119:0911,6.81,7.57,2.86,-0.02,2.76,0
20200119:1011,1808.37,267.32,8.95,1.15,2.9,0
20200119:1111,3137.75,453.12,13.38,2.99,3.17,0
20200119:1211,3537.55,513.77,15.82,4.59,3.1,0
20200119:1311,3825.76,557.44,16.03,5.52,3.38,0
20200119:1411,3532,515.16,14,6.01,3.72,0
20200119:1511,1165.74,181.92,9.91,5.99,3.59,0
20200119:1611,79.44,23.13,4.1,5.41,3.45,0
20200119:1711,0,0,0,4.23,3.31,0
20200119:1811,0,0,0,3.79,3.31,0
20200119:1911,0,0,0,3.76,3.38,0
20200119:2011,0,0,0,3.77,3.45,0
20200119:2111,0,0,0,3.79,3.52,0
20200119:2211,0,0,0,3.75,3.52,0
20200119:2311,0,0,0,3.69,3.45,0
20200120:0011,0,0,0,3.72,3.45,0
20200120:0111,0,0,0,3.69,3.45,0
20200120:0211,0,0,0,3.83,3.38,0
20200120:0311,0,0,0,3.72,3.38,0
20200120:0411,0,0,0,3.72,3.38,0
20200120:0511,0,0,0,3.71,3.31,0
20200120:0611,0,0,0,3.77,3.31,0
20200120:0711,0,0,0,4.83,3.24,0
20200120:0811,0,0,0,5.05,3.24,0
20200120:0911,21.46,11.35,3.01,4.89,3.24,0
20200120:1011,747.25,123.25,9.12,5.27,3.24,0
20200120:1111,1324.38,203.73,13.57,6.4,3.52,0
20200120:1211,1340.14,206.95,16.03,7.46,3.45,0
20200120:1311,453.5,82.42,16.25,8.39,3.72,0
20200120:1411,325.59,63.38,14.22,8.74,3.79,0
20200120:1511,216.37,46.35,10.13,8.74,4.21,0
20200120:1611,20.91,11.35,4.32,8.51,4,0
20200120:1711,0,0,0,8.19,3.86,0
20200120:1811,0,0,0,7.84,3.66,0
20200120:1911,0,0,0,7.69,3.45,0
20200120:2011,0,0,0,7.46,3.1,0
20200120:2111,0,0,0,7.46,2.83,0
20200120:2211,0,0,0,7.38,2.62,0
20200120:2311,0,0,0,6.73,2.41,0
20200121:0011,0,0,0,6.42,2.34,0
20200121:0111,0,0,0,6.37,2.28,0
20200121:0211,0,0,0,6.31,2.21,0
20200121:0311,0,0,0,6.28,2.14,0
20200121:0411,0,0,0,6.41,2,0
20200121:0511,0,0,0,6.65,1.93,0
20200121:0611,0,0,0,6.71,1.93,0
20200121:0711,0,0,0,7.09,1.86,0
20200121:0811,0,0,0,7.09,1.86,0
20200121:0911,0,3.78,3.17,7.1,1.86,0
20200121:1011,369.86,69.71,9.29,7.49,1.79,0
20200121:1111,378.34,71.28,13.77,8.21,1.59,0
20200121:1211,798.89,132.61,16.24,8.69,1.59,0
20200121:1311,430.14,79.46,16.47,9.3,1.79,0
20200121:1411,899.32,147.15,14.45,9.62,1.93,0
20200121:1511,467.6,84.9,10.36,9.7,1.66,0
20200121:1611,90.68,25.51,4.55,9.49,1.52,0
20200121:1711,0,0,0,8.92,1.59,0
20200121:1811,0,0,0,8.41,1.52,0
20200121:1911,0,0,0,7.99,1.38,0
20200121:2011,0,0,0,7.82,1.24,0
20200121:2111,0,0,0,7.55,1.24,0
20200121:2211,0,0,0,7.28,1.17,0
20200121:2311,0,0,0,6.93,1.17,0
20200122:0011,0,0,0,6.77,1.03,0
20200122:0111,0,0,0,6.6,0.97,0
20200122:0211,0,0,0,6.54,0.83,0
20200122:0311,0,0,0,6.58,0.76,0
20200122:0411,0,0,0,6.54,0.76,0
20200122:0511,0,0,0,6.56,0.69,0
20200122:0611,0,0,0,6.48,0.62,0
20200122:0711,0,0,0,6.92,0.28,0
20200122:0811,0,0,0,6.67,0.41,0
20200122:0911,9.74,8.51,3.34,6.44,0.48,0
20200122:1011,610.32,104.99,9.48,6.85,0.28,0
20200122:1111,856.47,140.54,13.97,7.72,0.28,0
20200122:1211,737.19,124.26,16.46,8.8,0.28,0
20200122:1311,564.22,99.56,16.7,9.56,0.41,0
20200122:1411,1278.84,202.19,14.68,9.96,0.55,0
20200122:1511,1125.99,180.74,10.6,9.99,0.55,0
20200122:1611,136.07,33.66,4.78,9.89,0.48,0
20200122:1711,0,0,0,9.2,0.76,0
20200122:1811,0,0,0,8.12,0.83,0
20200122:1911,0,0,0,8.37,0.76,0
20200122:2011,0,0,0,8.44,0.55,0
20200122:2111,0,0,0,8.13,0.34,0
20200122:2211,0,0,0,7.71,0,0
20200122:2311,0,0,0,6.83,0.41,0
20200123:0011,0,0,0,6.64,0.41,0
20200123:0111,0,0,0,6.58,0.21,0
20200123:0211,0,0,0,6.37,0.07,0
20200123:0311,0,0,0,6.25,0.07,0
20200123:0411,0,0,0,6.12,0.41,0
20200123:0511,0,0,0,6.04,0.48,0
20200123:0611,0,0,0,5.79,0.55,0
20200123:0711,0,0,0,5.69,0.41,0
20200123:0811,0,0,0,5.61,0.14,0
20200123:0911,0,4.73,3.51,5.53,0.34,0
20200123:1011,143.35,34.06,9.67,5.6,0.83,0
20200123:1111,394.18,73.1,14.18,5.98,0.69,0
20200123:1211,553.21,96.67,16.68,6.46,0.55,0
20200123:1311,584.73,101.4,16.94,6.83,0.69,0
20200123:1411,397.74,73.96,14.93,7.14,0.83,0
